"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","Exc","Astr","NRG1","ERBB4",0.1400271710327,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"2","None","Astr","NRG1","ERBB4",0.0397070463766025,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"3","Exc","Inh","NRG1","ERBB4",0.176964225871304,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"4","None","Inh","NRG1","ERBB4",0.0517743576466332,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"5","Exc","Olig","NRG1","ERBB4",0.0368910481309872,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"6","Exc","OPC","NRG1","ERBB4",0.137220253702782,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"7","None","OPC","NRG1","ERBB4",0.0388203201995596,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"8","Astr","Astr","NRG3","ERBB4",0.295657077781166,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"9","Exc","Astr","NRG3","ERBB4",0.291296346840323,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"10","Inh","Astr","NRG3","ERBB4",0.286623380490158,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"11","None","Astr","NRG3","ERBB4",0.162824571342955,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"12","OPC","Astr","NRG3","ERBB4",0.187858484118891,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"13","Astr","Inh","NRG3","ERBB4",0.35662273076931,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"14","Exc","Inh","NRG3","ERBB4",0.351811940905985,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"15","Inh","Inh","NRG3","ERBB4",0.346643020380063,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"16","None","Inh","NRG3","ERBB4",0.204346285536939,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"17","OPC","Inh","NRG3","ERBB4",0.233979858374503,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"18","Astr","Olig","NRG3","ERBB4",0.0898720346812514,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"19","Exc","Olig","NRG3","ERBB4",0.0881665554649541,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"20","Inh","Olig","NRG3","ERBB4",0.086355131800221,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"21","Astr","OPC","NRG3","ERBB4",0.290785346266064,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"22","Exc","OPC","NRG3","ERBB4",0.286467245517871,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"23","Inh","OPC","NRG3","ERBB4",0.281840939462987,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"24","None","OPC","NRG3","ERBB4",0.159645503197812,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"25","OPC","OPC","NRG3","ERBB4",0.18429824164073,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"26","Endo","Endo","NAMPT","INSR",0.0124089006755051,0,"NAMPT_INSR","NAMPT - INSR","VISFATIN","Secreted Signaling","PMID: 28490838"
"27","Peri","Endo","NAMPT","INSR",0.00580377446519349,0,"NAMPT_INSR","NAMPT - INSR","VISFATIN","Secreted Signaling","PMID: 28490838"
"28","Endo","Peri","NAMPT","INSR",0.00832154172538434,0,"NAMPT_INSR","NAMPT - INSR","VISFATIN","Secreted Signaling","PMID: 28490838"
"29","Peri","Peri","NAMPT","INSR",0.00388351796132167,0,"NAMPT_INSR","NAMPT - INSR","VISFATIN","Secreted Signaling","PMID: 28490838"
"30","Astr","Astr","PTN","PTPRZ1",0.0383623425122711,0,"PTN_PTPRZ1","PTN - PTPRZ1","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"31","OPC","Astr","PTN","PTPRZ1",0.0388840456813855,0,"PTN_PTPRZ1","PTN - PTPRZ1","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"32","Peri","Astr","PTN","PTPRZ1",0.101555919158715,0,"PTN_PTPRZ1","PTN - PTPRZ1","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"33","Astr","OPC","PTN","PTPRZ1",0.0706732240766754,0,"PTN_PTPRZ1","PTN - PTPRZ1","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"34","OPC","OPC","PTN","PTPRZ1",0.0716016170595098,0,"PTN_PTPRZ1","PTN - PTPRZ1","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"35","Peri","OPC","PTN","PTPRZ1",0.177279764376783,0,"PTN_PTPRZ1","PTN - PTPRZ1","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"36","Astr","OPC","PTN","ALK",0.013007699191927,0,"PTN_ALK","PTN - ALK","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"37","OPC","OPC","PTN","ALK",0.0131893247216612,0,"PTN_ALK","PTN - ALK","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"38","Peri","OPC","PTN","ALK",0.0359985445749932,0,"PTN_ALK","PTN - ALK","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
